twitter_username,twitter_userid,domain,name,followers_count,tweet_count
aaronpaul_8,332638587,slashfilm.com,Aaron Paul,2525682,31
carlosbaute,57912874,carlosbauteoficial.com,Carlos Baute,2523391,9532
zairana,74622617,zairanara.com,Zaira Nara,2506675,15515
greysonchance,144380789,greyson-official.com,Greyson Chance,2481686,10062
hardwick,15666380,,Chris Hardwick,2467419,40372
robbiewilliams,69610339,robbiewilliams.com,Robbie Williams,2458925,5497
Omar_Almulhem,486023178,,عمر الملحم,2455541,59371
TheRealAC3,710064516,,Ashley Cole,2449061,1282
AlfredoFlores,19743731,,Alfredo Flores,2440138,41380
sarseh,61091504,,sarah sechan,2434942,22396
danimartinezweb,99792462,danimartinez.es,Dani Martínez,2428355,31334
BIRDMAN5STAR,38127255,stunnalife.com,BIRDMAN,2426588,10552
AdelAliBinAli,542936786,,عادل علي بن علي,2423053,160040
mnzadornov,161199279,youtube.com,Михаил Задорнов,2418486,6906
Dbolina,69023599,,Dani Bolina,2413204,24594
lottietommo,272561314,lottietomlinson.com,Lottie Tomlinson,2408886,5012
mariko_dayo,162644645,mariko-shinoda.net,篠田麻里子,2395549,18925
SamNasri19,230567975,,Samir Nasri Official,2386914,618
DaniellePeazer,105296218,youtube.com,Danielle Peazer,2381238,23376
jimmyeatworld,14994465,jimmyeatworld.com,Jimmy Eat World,2371407,6959
kingsthings,22685200,ora.tv,Larry King,2366216,16520
MrsSOsbourne,43283406,sharonosbourne.com,Sharon Osbourne,2348026,5818
adamlambert,46576295,adamofficial.com,ADAM LAMBERT,2328907,9496
omeshomesh,59101459,anomindonesia.com,ananda omesh,2327345,14879
SleepintheGardn,130991061,katuriankaturiankaturian.tumblr.com,Troian,2323300,8336
TheMandyMoore,21774892,,Mandy Moore,2319060,5983
NathanKress,22592948,imdb.com,Nathan Kress,2317654,7723
RealPaulWalker,197034645,paulwalkerfoundation.org,Paul Walker,2316364,2366
danisuzuki,46196327,danisuzuki.com.br,Dani Suzuki,2309613,9389
Fabio_Coentrao,329789735,,Fabio Coentrao,2304840,132
TomDaley1994,53732896,tomdaley.tv,Tom Daley,2303625,8880
bobsaget,38536306,bobsaget.com,bob saget,2287027,3249
jhutch1992,44312605,joshhutcherson.com,Josh Hutcherson,2282181,586
Stromae,52496551,stromae.net,Stromae,2273941,690
SeppBlatter,138388408,,Joseph S Blatter,2265204,2440
nxzerooficial,23532872,nxzero.com.br,NX Zero,2258692,13269
shitmydadsays,62581962,,Justin,2255146,173
macklemore,18159470,DowntownTheSong.com,Macklemore,2245854,18602
jeremypiven,20221159,imdb.com,Jeremy Piven,2232179,5516
KendraWilkinson,29611918,,Kendra Wilkinson,2231521,22577
kylieminogue,63172203,Kylie.com,kylie minogue,2199545,14197
ashleesimpson,26885308,ashleesimpsonmusic.com,Ashlee Simpson Ross,2191961,1297
JeremyBieber,87781747,shots.me,Jeremy Bieber,2191533,6179
depechemode,26347170,depechemode.com,Depeche Mode,2180633,1357
HeffronDrive,29898542,itun.es,Kendall Schmidt,2179308,12650
mariashriver,19362341,mariashriver.com,Maria Shriver,2173276,21793
chriscolfer,32985158,thelandofstories.com,Chris Colfer,2148744,4376
michaelbuble,27911944,michaelbuble.com,Michael Bublé,2147559,3478
DENISE_RICHARDS,24523660,deniserichards.com,Denise Richards,2127152,14468
ayseozyilmazel,51701366,ayseozyilmazel.net,ayse ozyilmazel,2124191,18834
6BillionPeople,33923443,MarquisTrill.com,MarQuis Trill,2076640,183452
williebosshog,254189974,,Willie Robertson,2062168,2277
jasonsegel,407977463,,Jason Segel,2019765,335
